date,high_1,height_high_1,low_1,height_low_1,high_2,height_high_2,low_2,height_low_2,moon
2021-12-19,11:35:00,3.9,04:55:00,0.9,23:55:00,3.7,17:17:00,0.9,full
2021-12-20,12:10:00,3.9,05:30:00,0.9,NA,NA,17:54:00,0.9,waning_gib
2021-12-21,00:32:00,3.7,06:05:00,1,12:44:00,3.9,18:32:00,0.9,waning_gib
2021-12-22,01:10:00,3.6,06:41:00,1.1,13:19:00,3.9,19:11:00,0.9,waning_gib
2021-12-23,01:48:00,3.6,07:19:00,1.2,13:56:00,3.8,19:53:00,1.0,waning_gib
2021-12-24,02:30:00,3.5,08:00:00,1.2,14:36:00,3.8,20:38:00,1.0,waning_gib
2021-12-25,03:15:00,3.4,08:45:00,1.4,15:22:00,3.7,21:29:00,1.1,waning_gib
2021-12-26,04:07:00,3.3,09:38:00,1.4,16:14:00,3.7,22:25:00,1.1,waning_gib
2021-12-27,05:05:00,3.3,10:37:00,1.5,17:14:00,3.6,23:27:00,1.1,third_quarter
2021-12-28,06:08:00,3.3,11:43:00,1.4,18:21:00,3.7,NA,NA,waning_cresc
2021-12-29,07:14:00,3.4,00:30:00,1.1,19:32:00,3.7,12:52:00,1.3,waning_cresc
2021-12-30,08:18:00,3.6,01:33:00,1,20:37:00,3.8,13:56:00,1.1,waning_cresc
2021-12-31,09:16:00,3.8,02:29:00,0.8,21:41:00,4.0,14:55:00,0.9,waning_cresc
2022-01-01,10:11:00,4,03:23:00,0.7,22:39:00,4.1,15:50:00,0.6,waning_cresc
2022-01-02,11:03:00,4.2,04:14:00,0.6,23:33:00,4.1,16:42:00,0.4,new
2022-01-03,11:52:00,4.3,05:02:00,0.5,NA,NA,17:33:00,0.3,waxing_cresc
2022-01-04,00:24:00,4.1,05:50:00,0.5,12:40:00,4.4,18:23:00,0.3,waxing_cresc
2022-01-05,01:13:00,4,06:38:00,0.6,13:26:00,4.3,19:12:00,0.4,waxing_cresc
2022-01-06,02:00:00,3.9,07:25:00,0.8,14:11:00,4.2,20:02:00,0.6,waxing_cresc
2022-01-07,02:48:00,3.7,08:15:00,1,14:58:00,4.0,20:55:00,0.8,waxing_cresc
2022-01-08,03:38:00,3.6,09:07:00,1.2,15:46:00,3.8,21:49:00,1.0,waxing_cresc
2022-01-09,04:29:00,3.4,10:01:00,1.4,16:37:00,3.6,22:46:00,1.2,first_quarter
2022-01-10,05:24:00,3.3,11:00:00,1.5,17:33:00,3.5,23:45:00,1.3,waxing_gib
2022-01-11,06:25:00,3.2,12:05:00,1.6,18:36:00,3.3,NA,NA,waxing_gib
2022-01-12,07:26:00,3.2,00:48:00,1.4,19:38:00,3.3,13:10:00,1.6,waxing_gib
2022-01-13,08:22:00,3.3,01:44:00,1.4,20:38:00,3.4,14:09:00,1.5,waxing_gib
