ID	tag_weight	fix	upload_oct_feb	upload_mar_sep	deploy_datetime	deploy_date	deploy_time	deploy_site	catch_method	bto	code	age	weight	wing	head_bill	bill	tarsus_toe	species
44296	6.32	40	240	120	19/12/2021 10:40	19/12/2021	10:40:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53391	NA	4	295	214	117.5	90.4	112	BW
43967	6.25	40	240	120	19/12/2021 10:45	19/12/2021	10:45:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53393	NA	4	303.6	215	113.5	83.1	105	BW
43994	6.36	40	240	120	19/12/2021 10:50	19/12/2021	10:50:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53394	NA	4	290	208	107.6	78.6	104	BW
44078	6.3	40	240	120	19/12/2021 11:10	19/12/2021	11:10:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53396	NA	4	320	214	115.6	82	114	BW
43995	6.01	40	240	120	19/12/2021 11:12	19/12/2021	11:12:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53397	NA	4	290	206	111	86	114	BW
44101	6.4	40	240	120	19/12/2021 11:14	19/12/2021	11:14:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53398	NA	4	270	215	118.2	91	107	BW
44221	6.34	40	240	120	19/12/2021 11:20	19/12/2021	11:20:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53399	NA	4	290	218	114.9	84.9	110	BW
44264	6.39	40	240	120	19/12/2021 11:25	19/12/2021	11:25:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53400	NA	4	295	217	112.7	81.9	106	BW
43999	6.38	40	240	120	19/12/2021 11:33	19/12/2021	11:33:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53492	NA	4	290	214	115.6	85.7	110	BW
43971	6.35	40	240	120	19/12/2021 11:40	19/12/2021	11:40:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53493	NA	4	355	225	129.5	89.4	116	BW
44358	6.34	40	240	120	19/12/2021 11:38	19/12/2021	11:38:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53494	NA	4	360	220	113.1	99.5	117	BW
43968	6.25	40	240	120	19/12/2021 11:42	19/12/2021	11:42:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53495	NA	4	355	228	125.9	92.2	120	BW
43978	6.43	40	240	120	19/12/2021 11:46	19/12/2021	11:46:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53496	NA	4	280	218	119.9	82.8	107	BW
44040	6.33	40	240	120	19/12/2021 11:51	19/12/2021	11:51:00	Dublin-Baldoyle (Red Arches)	Cannon	EA53497	NA	4	305	208	115.7	89.5	112	BW
